Country,Region,University_Name,Degree_Level,Field_of_Study,Graduation_Year,Employment_Rate_6_Months (%),Employment_Rate_12_Months (%),Average_Starting_Salary_USD,Top_Industry,Job_Role,Skill_1,Skill_2,Skill_3,Skill_Demand_Score (1–100),Remote_Work_Availability (%),Employer_Reputation_Score (1–100),Year
Saudi Arabia,Middle East & Africa,King Abdulaziz University,Master,Computer Science,1.5567958471516272,-0.09096918177947474,0.5771389315607095,0.8643878174472976,Technology,Software Engineer,Cloud Computing,Cybersecurity,SQL,0.3271959368591081,1.5978867989062635,0.5798548405129713,1.5567958471516272
Australia,Asia-Pacific,University of Sydney,PhD,Business & Finance,-0.0066109774296642075,-0.835344286709975,-0.8773592244067172,1.3837159316545933,Finance/Consulting,Financial Analyst,Data Analysis,Excel,Market Research,-0.692620418228945,-0.1966349041079628,0.8607339411697286,-0.0066109774296642075
Netherlands,Europe,University of Amsterdam,PhD,Social Sciences,-0.9446550721784391,-0.8926039101661682,-0.6102065018820881,0.021704462318478484,Government/NGO,Sociologist,Communication,Qualitative Research,Public Policy,-0.5566449042172046,-0.8563855302161342,0.6500746156771606,-0.9446550721784391
India,Asia-Pacific,IIT Delhi,PhD,Healthcare & Medicine,1.5567958471516272,0.6390910172869801,0.9333425615935496,-0.7981153909270007,Healthcare,Pharmacist,Medical Coding,Patient Care,Diagnostics,0.7351224788943294,1.6407705896032945,0.08831641436364612,1.5567958471516272
Switzerland,Europe,EPFL,PhD,Engineering,1.5567958471516272,-0.8210293808459277,-0.6398901377181585,2.931901630612191,Manufacturing/Construction,Electrical Engineer,AutoCAD,MATLAB,SolidWorks,0.12323266584149747,1.5747955269924774,1.1416130418264858,1.5567958471516272
USA,North America,Harvard,Bachelor,Natural Sciences,-0.6319737072621808,-0.23411824041995588,0.1912516656918011,-0.11221033442679898,Research/Academia,Chemist,Statistical Analysis,Laboratory Skills,Scientific Writing,-0.6246326612230748,-0.8794768021299203,-0.33300223662148976,-0.6319737072621808
Argentina,Latin America,University of Buenos Aires,Master,Business & Finance,1.5567958471516272,-0.7351399456616398,-0.6844155914722629,-1.1900611374985444,Finance/Consulting,Marketing Manager,Market Research,Strategic Planning,Excel,0.6671347218884591,1.3768703391600259,2.124689894125136,1.5567958471516272
Mexico,Latin America,UNAM,Bachelor,Social Sciences,-1.5700178020109556,-1.6942386385528616,-1.3671392157018707,-1.8171743320130145,Government/NGO,Economist,Public Policy,Qualitative Research,Data Analysis,-0.5566449042172046,-0.8893730615215428,0.6500746156771606,-1.5700178020109556
Israel,Middle East & Africa,Technion,PhD,Engineering,-1.2573364370946973,-1.0357529688066494,-0.9960937677509966,0.8186608136806176,Manufacturing/Construction,Electrical Engineer,SolidWorks,Project Management,Lean Six Sigma,-1.3724979882876471,-0.8299955051718074,-0.19256268629311113,-1.2573364370946973
Argentina,Latin America,University of Buenos Aires,PhD,Business & Finance,-0.9446550721784391,-0.6206206987492533,-0.47663014061977255,-1.369702938010502,Finance/Consulting,Financial Analyst,Data Analysis,Market Research,Strategic Planning,-1.1685347172700364,-1.1268832869204846,0.22875596469202475,-0.9446550721784391
Australia,Asia-Pacific,University of Sydney,PhD,Engineering,-0.3192923423459225,-0.7494548515256871,-0.8773592244067172,1.1322174109378527,Manufacturing/Construction,Electrical Engineer,SolidWorks,AutoCAD,MATLAB,-0.35268163319959395,-1.1565720650953522,-1.526738414412708,-0.3192923423459225
France,Europe,Ecole Polytechnique,Master,Healthcare & Medicine,-1.2573364370946973,0.6390910172869801,0.799766200331234,-0.05995090155059314,Healthcare,Pharmacist,Patient Care,Clinical Research,Medical Coding,0.055244908835627264,-0.8497880239550525,-0.19256268629311113,-1.2573364370946973
Sweden,Europe,KTH Royal Institute of Technology,Bachelor,Business & Finance,0.3060703874865941,-1.5367746740483332,-1.5452410307182909,-0.14160626541966476,Finance/Consulting,Investment Banker,Excel,Data Analysis,Strategic Planning,-0.4206693902054642,0.43342694382534097,-0.8947604379350043,0.3060703874865941
Netherlands,Europe,University of Amsterdam,PhD,Social Sciences,-1.5700178020109556,0.7106655466072207,0.7403989286590954,-0.0730157597696446,Government/NGO,Sociologist,Data Analysis,Qualitative Research,Public Policy,-0.7606081752348152,-0.8761780489993795,-0.4734417869498684,-1.5700178020109556
South Korea,Asia-Pacific,KAIST,PhD,Social Sciences,0.9314331173191107,-0.377267299060437,-0.31337014352138876,-0.063217116105356,Government/NGO,Sociologist,Qualitative Research,Data Analysis,Public Policy,-0.4886571472113344,0.9942149760172867,0.509635065348782,0.9314331173191107
Mexico,Latin America,UNAM,Master,Data Science & AI,1.5567958471516272,1.4693555574017703,1.4231225528887033,-0.6968627397293519,Technology/Consulting,NLP Specialist,NLP,Data Visualization,Deep Learning,1.1430490209295505,1.6473680958643764,0.15853618952783544,1.5567958471516272
Switzerland,Europe,ETH Zurich,Master,Healthcare & Medicine,1.244114482235369,0.20964384136553682,0.013149850675381028,2.641208535238296,Healthcare,Biomedical Researcher,Clinical Research,Diagnostics,Patient Care,-0.21670611918785357,0.6181571191356288,-0.5436615621140577,1.244114482235369
Brazil,Latin America,University of São Paulo,Master,Business & Finance,-0.0066109774296642075,-0.5347312635649654,-0.40242105102959774,-1.1867949229437815,Finance/Consulting,Management Consultant,Strategic Planning,Data Analysis,Market Research,0.8710979929060697,0.31137307799532915,-0.613881337278247,-0.0066109774296642075
Mexico,Latin America,UNAM,Master,Natural Sciences,-1.2573364370946973,-0.2913778638761471,-0.6398901377181585,-1.5983379568439027,Research/Academia,Biologist,Experimental Design,Laboratory Skills,Scientific Writing,0.3271959368591081,-0.7970079738663989,-0.5436615621140577,-1.2573364370946973
Sweden,Europe,KTH Royal Institute of Technology,PhD,Computer Science,-1.5700178020109556,1.8988027333232136,1.4231225528887033,0.3679232051233422,Technology,Cloud Architect,Java,SQL,Python,1.1430490209295505,-1.1565720650953522,-0.613881337278247,-1.5700178020109556
Germany,Europe,TU Munich,Master,Social Sciences,-1.2573364370946973,-0.6063057928852059,-0.7140992273083333,-0.43883178990308547,Government/NGO,Sociologist,Qualitative Research,Data Analysis,Communication,-0.4886571472113344,-1.1565720650953522,-0.19256268629311113,-1.2573364370946973
Switzerland,Europe,ETH Zurich,Bachelor,Data Science & AI,-1.2573364370946973,0.9826487580241337,1.2747043737083534,0.7957973117972775,Technology/Consulting,NLP Specialist,Big Data,Machine Learning,R,-0.35268163319959395,-1.1565720650953522,1.3522723673190538,-1.2573364370946973
Argentina,Latin America,University of Buenos Aires,Bachelor,Healthcare & Medicine,1.5567958471516272,0.080809688589103,0.5919807494787457,-1.301112432360482,Healthcare,Medical Doctor,Patient Care,Clinical Research,Diagnostics,0.3951836938649783,1.6473680958643764,0.08831641436364612,1.5567958471516272
UAE,Middle East & Africa,Khalifa University,PhD,Business & Finance,1.5567958471516272,0.8681295111117492,0.8739752899214089,2.001030482504775,Finance/Consulting,Management Consultant,Excel,Financial Modeling,Market Research,0.9390857499119399,1.6473680958643764,1.422492142483243,1.5567958471516272
Canada,North America,McGill University,Bachelor,Business & Finance,-0.0066109774296642075,-0.334322581468291,0.013149850675381028,-0.23306027295302498,Finance/Consulting,Financial Analyst,Data Analysis,Strategic Planning,Market Research,-1.5764612593052576,-0.3912613388098734,-2.0884966157262226,-0.0066109774296642075
South Africa,Middle East & Africa,University of Cape Town,Master,Business & Finance,1.244114482235369,-0.13391389937161868,0.3545116627901849,-0.8079140345912892,Finance/Consulting,Investment Banker,Excel,Market Research,Financial Modeling,0.19122042284736768,1.6473680958643764,-1.4565186392485188,1.244114482235369
South Korea,Asia-Pacific,Seoul National University,Master,Healthcare & Medicine,1.244114482235369,0.7536102641993647,0.9333425615935496,-0.007691468674387302,Healthcare,Pharmacist,Diagnostics,Patient Care,Clinical Research,0.12323266584149747,0.6346508847883331,-0.12234291112892182,1.244114482235369
India,Asia-Pacific,IIT Delhi,Bachelor,Data Science & AI,-0.3192923423459225,1.0828530990724707,1.2895461916263877,-1.5362798803034081,Technology/Consulting,Machine Learning Engineer,R,NLP,Big Data,0.19122042284736768,-1.0774019899623717,-1.1054197634275722,-0.3192923423459225
Saudi Arabia,Middle East & Africa,King Abdulaziz University,Bachelor,Social Sciences,0.3060703874865941,-0.13391389937161868,-0.3875792331115636,-0.7523883871603205,Government/NGO,Human Resources Specialist,Data Analysis,Communication,Public Policy,0.12323266584149747,0.1530329277293681,-0.824540662770815,0.3060703874865941
Mexico,Latin America,UNAM,Bachelor,Data Science & AI,-0.6319737072621808,-0.13391389937161868,-0.254002871849248,-1.3631705089009762,Technology/Consulting,AI Consultant,Data Visualization,Deep Learning,R,-0.08073060517611315,-0.6683566017753054,0.01809663919945681,-0.6319737072621808
Argentina,Latin America,University of Buenos Aires,Master,Social Sciences,0.9314331173191107,-0.49178654597282145,-0.4914719585378088,-1.6212014587272425,Government/NGO,Sociologist,Communication,Qualitative Research,Data Analysis,-0.14871836218198337,1.188841410719197,0.7905141660055393,0.9314331173191107
Japan,Asia-Pacific,University of Tokyo,Bachelor,Social Sciences,-0.6319737072621808,-1.2361616509033237,-1.3077719440297322,-1.030016624315164,Government/NGO,Economist,Communication,Public Policy,Data Analysis,-2.2563388293639597,-1.1565720650953522,1.422492142483243,-0.6319737072621808
Sweden,Europe,Karolinska Institute,Master,Social Sciences,1.244114482235369,-0.8210293808459277,-0.6250483198001223,0.14908682995423023,Government/NGO,Sociologist,Communication,Public Policy,Data Analysis,0.3951836938649783,1.6473680958643764,1.1416130418264858,1.244114482235369
France,Europe,PSL University,Master,Computer Science,0.9314331173191107,0.10943950031719964,-0.31337014352138876,0.42671506710907375,Technology,Software Engineer,Java,Cloud Computing,Python,1.550975562964772,0.7369122318350997,-1.526738414412708,0.9314331173191107
South Africa,Middle East & Africa,University of Cape Town,PhD,Natural Sciences,0.6187517524028524,-1.1645871215830832,-0.6547319556361927,-0.8732383256865466,Research/Academia,Environmental Scientist,Laboratory Skills,Experimental Design,Statistical Analysis,0.4631714508708485,0.6544434035715783,1.5629316928116217,0.6187517524028524
Mexico,Latin America,UNAM,Bachelor,Computer Science,-0.3192923423459225,-0.005079746595184858,0.4880880240525005,-1.369702938010502,Technology,Software Engineer,SQL,DevOps,Python,1.2110367779354207,-1.1565720650953522,-0.19256268629311113,-0.3192923423459225
Mexico,Latin America,UNAM,PhD,Social Sciences,1.5567958471516272,-1.3793107095438049,-1.114828311095276,-1.268450286812853,Government/NGO,Sociologist,Public Policy,Data Analysis,Communication,1.618963319970642,1.1855426575886563,0.5798548405129713,1.5567958471516272
USA,North America,MIT,PhD,Natural Sciences,0.3060703874865941,-0.7351399456616398,-0.8922010423247513,1.0440296179592552,Research/Academia,Environmental Scientist,Statistical Analysis,Scientific Writing,Experimental Design,-0.8285959322406854,0.34436060930073775,-0.8947604379350043,0.3060703874865941
Mexico,Latin America,UNAM,Master,Healthcare & Medicine,1.244114482235369,0.7536102641993647,0.7552407465771296,-0.9679585477746696,Healthcare,Biomedical Researcher,Clinical Research,Medical Coding,Diagnostics,-0.4886571472113344,1.1261651012389209,0.7905141660055393,1.244114482235369
France,Europe,PSL University,Bachelor,Engineering,-0.9446550721784391,-1.522459768184286,-1.5007155769641864,-0.45842907723166265,Manufacturing/Construction,Mechanical Engineer,Lean Six Sigma,AutoCAD,SolidWorks,-0.28469387619372377,-1.1565720650953522,0.5798548405129713,-0.9446550721784391
Mexico,Latin America,UNAM,Master,Computer Science,-0.6319737072621808,1.1973723459848553,1.066918922855863,-1.3370407924628733,Technology,Cybersecurity Analyst,Cloud Computing,React,SQL,-0.5566449042172046,-1.1565720650953522,0.01809663919945681,-0.6319737072621808
USA,North America,Harvard,PhD,Healthcare & Medicine,1.5567958471516272,0.3957376175981619,0.6513480211508843,2.758792259209759,Healthcare,Biomedical Researcher,Patient Care,Diagnostics,Clinical Research,-0.8285959322406854,1.6242768239505903,-1.3160790889201401,1.5567958471516272
France,Europe,PSL University,Bachelor,Computer Science,-0.9446550721784391,0.6390910172869801,0.45840438821643015,-0.5008898664435799,Technology,Cloud Architect,SQL,Cloud Computing,Cybersecurity,0.3271959368591081,-0.8266967520412666,-0.613881337278247,-0.9446550721784391
South Korea,Asia-Pacific,Seoul National University,Master,Social Sciences,-0.3192923423459225,-1.4508852388640454,-1.2929301261116959,-0.5792790157578886,Government/NGO,Human Resources Specialist,Data Analysis,Qualitative Research,Communication,0.4631714508708485,-1.1565720650953522,-0.824540662770815,-0.3192923423459225
USA,North America,UC Berkeley,PhD,Data Science & AI,1.244114482235369,0.8967593228398458,1.0817607407738994,2.860044910407408,Technology/Consulting,Data Analyst,R,Machine Learning,Big Data,1.0750612639236803,1.3471815609851585,-0.19256268629311113,1.244114482235369
UAE,Middle East & Africa,Khalifa University,PhD,Computer Science,-0.9446550721784391,1.2260021577129518,1.408280734970669,1.1910092729235842,Technology,AI Researcher,DevOps,Cybersecurity,SQL,0.2592081798532379,-1.07080448370129,-0.4734417869498684,-0.9446550721784391
Switzerland,Europe,EPFL,PhD,Natural Sciences,0.6187517524028524,-0.6921952280694939,-0.5805228660460178,1.9846994097309603,Research/Academia,Environmental Scientist,Laboratory Skills,Statistical Analysis,Scientific Writing,1.279024534941291,0.9447336790591738,-0.33300223662148976,0.6187517524028524
Japan,Asia-Pacific,University of Tokyo,Bachelor,Data Science & AI,0.3060703874865941,0.3241630882779213,-0.22431923601317766,0.03803553509229281,Technology/Consulting,NLP Specialist,NLP,Data Visualization,R,0.3951836938649783,-0.2889999917631068,-0.40322201178567907,0.3060703874865941
UAE,Middle East & Africa,Khalifa University,Bachelor,Data Science & AI,-0.3192923423459225,1.8129132981389258,1.4231225528887033,0.12622332807089015,Technology/Consulting,Machine Learning Engineer,R,Machine Learning,Data Visualization,0.6671347218884591,-0.8563855302161342,-2.0884966157262226,-0.3192923423459225
Israel,Middle East & Africa,Hebrew University of Jerusalem,Bachelor,Engineering,0.9314331173191107,-0.26274805214805047,-0.6695737735542268,0.18174897550185887,Manufacturing/Construction,Robotics Engineer,MATLAB,SolidWorks,Lean Six Sigma,0.8031102359001996,1.0997750761945941,-0.4734417869498684,0.9314331173191107
USA,North America,Harvard,PhD,Engineering,-0.3192923423459225,1.2403170635770013,1.3785970991345988,1.5502928739474993,Manufacturing/Construction,Mechanical Engineer,SolidWorks,Lean Six Sigma,AutoCAD,-0.35268163319959395,-1.067505730570749,-0.8947604379350043,-0.3192923423459225
