Country,University_Name,Graduation_Year,Employment_Rate_6_Months (%),Employment_Rate_12_Months (%),Average_Starting_Salary_USD,Job_Role,Skill_1,Skill_2,Skill_3,Skill_Demand_Score (1–100),Remote_Work_Availability (%),Employer_Reputation_Score (1–100),High_Employability,Region_Europe,Region_Latin America,Region_Middle East & Africa,Region_North America,Degree_Level_Master,Degree_Level_PhD,Field_of_Study_Computer Science,Field_of_Study_Data Science & AI,Field_of_Study_Engineering,Field_of_Study_Healthcare & Medicine,Field_of_Study_Natural Sciences,Field_of_Study_Social Sciences,Top_Industry_Government/NGO,Top_Industry_Healthcare,Top_Industry_Manufacturing/Construction,Top_Industry_Research/Academia,Top_Industry_Technology,Top_Industry_Technology/Consulting
Mexico,UNAM,2017,89.1,91.9,20400,NLP Specialist,Deep Learning,Big Data,R,62,14.1,90,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
Israel,Hebrew University of Jerusalem,2023,85.0,90.7,68600,Mechanical Engineer,SolidWorks,AutoCAD,Lean Six Sigma,59,73.6,93,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
Sweden,KTH Royal Institute of Technology,2024,90.8,90.8,105500,Marketing Manager,Financial Modeling,Data Analysis,Strategic Planning,76,80.9,65,1,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
South Africa,University of Cape Town,2016,73.1,77.6,31300,Policy Analyst,Communication,Data Analysis,Qualitative Research,55,17.4,62,0,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False
South Korea,Seoul National University,2019,88.7,95.6,56300,Software Engineer,Cybersecurity,Java,SQL,81,7.4,77,1,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
Singapore,NUS,2017,94.8,98.4,72500,AI Consultant,Big Data,NLP,Machine Learning,70,8.0,48,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
Brazil,University of São Paulo,2019,82.6,87.6,27200,Physicist,Statistical Analysis,Laboratory Skills,Scientific Writing,55,5.0,63,0,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
Canada,University of Toronto,2017,79.0,83.7,73700,Chemist,Statistical Analysis,Scientific Writing,Experimental Design,58,19.4,72,0,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False
Australia,ANU,2023,80.9,82.0,87500,Electrical Engineer,Project Management,MATLAB,Lean Six Sigma,65,70.6,100,0,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
Argentina,University of Buenos Aires,2018,81.5,86.4,15600,Civil Engineer,AutoCAD,MATLAB,Lean Six Sigma,44,15.7,81,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
Saudi Arabia,King Abdulaziz University,2025,75.5,83.3,51100,Policy Analyst,Public Policy,Data Analysis,Communication,55,90.0,100,0,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
China,Fudan University,2025,87.2,92.4,43100,NLP Specialist,Data Visualization,Deep Learning,Big Data,84,74.5,71,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
Netherlands,University of Amsterdam,2016,92.4,95.5,49100,Cybersecurity Analyst,React,DevOps,Cloud Computing,87,6.1,65,1,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
Mexico,UNAM,2025,76.8,82.3,34200,Sociologist,Public Policy,Data Analysis,Qualitative Research,83,73.9,72,0,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False
USA,Stanford,2022,93.9,96.4,85900,Public Health Specialist,Patient Care,Diagnostics,Clinical Research,50,65.2,74,1,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
Brazil,University of São Paulo,2023,83.0,86.6,30200,Physicist,Laboratory Skills,Experimental Design,Scientific Writing,68,72.9,59,0,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
Germany,Heidelberg University,2018,83.6,86.2,82800,Marketing Manager,Data Analysis,Financial Modeling,Market Research,62,5.1,81,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Canada,McGill University,2021,87.1,94.1,96500,Data Analyst,NLP,Big Data,Data Visualization,86,58.2,98,1,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True
France,PSL University,2023,86.2,89.5,64100,Medical Doctor,Clinical Research,Medical Coding,Patient Care,57,69.2,75,0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
Canada,UBC,2015,87.1,92.2,83700,Mechanical Engineer,Lean Six Sigma,AutoCAD,SolidWorks,64,8.7,100,1,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False
UAE,Khalifa University,2024,87.0,89.8,94600,Software Engineer,Java,Cybersecurity,React,92,77.8,80,0,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
UAE,Khalifa University,2024,92.6,95.9,124400,Public Health Specialist,Medical Coding,Patient Care,Clinical Research,52,75.5,82,1,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False
France,Ecole Polytechnique,2025,73.8,79.1,48200,Policy Analyst,Communication,Qualitative Research,Data Analysis,73,81.2,72,0,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
Canada,UBC,2016,87.3,93.0,92700,AI Researcher,Cybersecurity,Java,SQL,77,15.4,85,1,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False
France,PSL University,2019,85.3,91.3,53500,Machine Learning Engineer,Deep Learning,Data Visualization,R,83,12.6,100,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
South Africa,University of Cape Town,2016,95.7,100.0,32300,AI Consultant,Machine Learning,Big Data,Deep Learning,78,8.4,81,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
Australia,University of Melbourne,2018,91.8,95.8,108600,AI Consultant,NLP,R,Data Visualization,76,21.6,41,1,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True
USA,UC Berkeley,2015,83.2,87.2,85900,Data Scientist,Cloud Computing,Java,SQL,80,10.3,53,0,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False
Argentina,University of Buenos Aires,2016,96.4,99.9,23600,Cloud Architect,Python,React,Java,74,10.2,60,1,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False
Canada,UBC,2021,86.2,87.1,109000,Electrical Engineer,Project Management,AutoCAD,Lean Six Sigma,63,43.4,82,0,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False
Canada,University of Toronto,2025,82.4,88.4,106600,Robotics Engineer,AutoCAD,MATLAB,SolidWorks,78,78.0,64,0,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False
Saudi Arabia,King Abdulaziz University,2017,76.7,85.3,39200,Biologist,Experimental Design,Laboratory Skills,Scientific Writing,58,5.0,83,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
Argentina,University of Buenos Aires,2016,86.4,88.4,30100,Civil Engineer,SolidWorks,AutoCAD,Project Management,47,16.3,59,0,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
Netherlands,University of Amsterdam,2018,85.1,88.3,59300,Environmental Scientist,Statistical Analysis,Laboratory Skills,Scientific Writing,55,5.0,54,0,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
Japan,University of Tokyo,2025,85.0,93.3,82800,Machine Learning Engineer,Big Data,Data Visualization,R,75,85.6,71,1,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
Canada,University of Toronto,2015,85.8,93.1,104400,AI Consultant,Machine Learning,Big Data,Data Visualization,70,5.1,76,1,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True
South Korea,Seoul National University,2018,88.2,93.4,62000,Medical Doctor,Medical Coding,Clinical Research,Patient Care,52,10.6,79,1,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
Saudi Arabia,King Abdulaziz University,2025,85.1,94.3,91100,Software Engineer,Cloud Computing,Cybersecurity,SQL,70,88.5,78,1,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
Australia,University of Sydney,2020,79.9,84.5,107000,Financial Analyst,Data Analysis,Excel,Market Research,55,34.1,82,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Netherlands,University of Amsterdam,2017,79.5,86.3,65300,Sociologist,Communication,Qualitative Research,Public Policy,57,14.1,79,0,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False
India,IIT Delhi,2025,90.2,96.7,40200,Pharmacist,Medical Coding,Patient Care,Diagnostics,76,89.8,71,1,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False
Switzerland,EPFL,2025,80.0,86.1,154400,Electrical Engineer,AutoCAD,MATLAB,SolidWorks,67,87.8,86,0,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
USA,Harvard,2018,84.1,91.7,61200,Chemist,Statistical Analysis,Laboratory Skills,Scientific Writing,56,13.4,65,1,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
Argentina,University of Buenos Aires,2025,80.6,85.8,28200,Marketing Manager,Market Research,Strategic Planning,Excel,75,81.8,100,0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Mexico,UNAM,2015,73.9,81.2,9000,Economist,Public Policy,Qualitative Research,Data Analysis,57,13.1,79,0,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
Israel,Technion,2016,78.5,83.7,89700,Electrical Engineer,SolidWorks,Project Management,Lean Six Sigma,45,14.9,67,0,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
Argentina,University of Buenos Aires,2017,81.4,87.2,22700,Financial Analyst,Data Analysis,Market Research,Strategic Planning,48,5.9,73,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Australia,University of Sydney,2019,80.5,84.5,99300,Electrical Engineer,SolidWorks,AutoCAD,MATLAB,60,5.0,48,0,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
France,Ecole Polytechnique,2016,90.2,95.8,62800,Pharmacist,Patient Care,Clinical Research,Medical Coding,66,14.3,67,1,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
Sweden,KTH Royal Institute of Technology,2021,75.0,80.0,60300,Investment Banker,Excel,Data Analysis,Strategic Planning,59,53.2,57,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Netherlands,University of Amsterdam,2015,90.7,95.4,62400,Sociologist,Data Analysis,Qualitative Research,Public Policy,54,13.5,63,1,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False
South Korea,KAIST,2023,83.1,88.3,62700,Sociologist,Qualitative Research,Data Analysis,Public Policy,58,70.2,77,0,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False
Mexico,UNAM,2025,96.0,100.0,43300,NLP Specialist,NLP,Data Visualization,Deep Learning,82,90.0,72,1,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
Switzerland,ETH Zurich,2024,87.2,90.5,145500,Biomedical Researcher,Clinical Research,Diagnostics,Patient Care,62,58.8,62,0,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
Brazil,University of São Paulo,2020,82.0,87.7,28300,Management Consultant,Strategic Planning,Data Analysis,Market Research,78,49.5,61,0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Mexico,UNAM,2016,83.7,86.1,15700,Biologist,Experimental Design,Laboratory Skills,Scientific Writing,70,15.9,62,0,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
Sweden,KTH Royal Institute of Technology,2015,99.0,100.0,75900,Cloud Architect,Java,SQL,Python,82,5.0,61,1,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False
Germany,TU Munich,2016,81.5,85.6,51200,Sociologist,Qualitative Research,Data Analysis,Communication,58,5.0,67,0,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False
Switzerland,ETH Zurich,2016,92.6,99.0,89000,NLP Specialist,Big Data,Machine Learning,R,60,5.0,89,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
Argentina,University of Buenos Aires,2025,86.3,94.4,24800,Medical Doctor,Patient Care,Clinical Research,Diagnostics,71,90.0,71,1,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
UAE,Khalifa University,2025,91.8,96.3,125900,Management Consultant,Excel,Financial Modeling,Market Research,79,90.0,90,1,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Canada,McGill University,2020,83.4,90.5,57500,Financial Analyst,Data Analysis,Strategic Planning,Market Research,42,28.2,40,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
South Africa,University of Cape Town,2024,84.8,92.8,39900,Investment Banker,Excel,Market Research,Financial Modeling,68,90.0,49,1,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
South Korea,Seoul National University,2024,91.0,96.7,64400,Pharmacist,Diagnostics,Patient Care,Clinical Research,67,59.3,68,1,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
India,IIT Delhi,2019,93.3,99.1,17600,Machine Learning Engineer,R,NLP,Big Data,68,7.4,54,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
Saudi Arabia,King Abdulaziz University,2021,84.8,87.8,41600,Human Resources Specialist,Data Analysis,Communication,Public Policy,67,44.7,58,0,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
Mexico,UNAM,2018,84.8,88.7,22900,AI Consultant,Data Visualization,Deep Learning,R,64,19.8,70,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
Argentina,University of Buenos Aires,2023,82.3,87.1,15000,Sociologist,Communication,Qualitative Research,Data Analysis,63,76.1,81,0,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False
Japan,University of Tokyo,2018,77.1,81.6,33100,Economist,Communication,Public Policy,Data Analysis,32,5.0,90,0,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
Sweden,Karolinska Institute,2024,80.0,86.2,69200,Sociologist,Communication,Public Policy,Data Analysis,71,90.0,86,0,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False
France,PSL University,2023,86.5,88.3,77700,Software Engineer,Java,Cloud Computing,Python,88,62.4,48,0,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
South Africa,University of Cape Town,2022,77.6,86.0,37900,Environmental Scientist,Laboratory Skills,Experimental Design,Statistical Analysis,72,59.9,92,0,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
Mexico,UNAM,2019,85.7,93.7,22700,Software Engineer,SQL,DevOps,Python,83,5.0,67,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
Mexico,UNAM,2025,76.1,82.9,25800,Sociologist,Public Policy,Data Analysis,Communication,89,76.0,78,0,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False
USA,MIT,2021,80.6,84.4,96600,Environmental Scientist,Statistical Analysis,Scientific Writing,Experimental Design,53,50.5,57,0,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False
Mexico,UNAM,2024,91.0,95.5,35000,Biomedical Researcher,Clinical Research,Medical Coding,Diagnostics,58,74.2,81,1,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
France,PSL University,2017,75.1,80.3,50600,Mechanical Engineer,Lean Six Sigma,AutoCAD,SolidWorks,61,5.0,78,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
Mexico,UNAM,2018,94.1,97.6,23700,Cybersecurity Analyst,Cloud Computing,React,SQL,57,5.0,70,1,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
USA,Harvard,2025,88.5,94.8,149100,Biomedical Researcher,Patient Care,Diagnostics,Clinical Research,53,89.3,51,1,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False
France,PSL University,2017,90.2,93.5,49300,Cloud Architect,SQL,Cloud Computing,Cybersecurity,70,15.0,61,1,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
South Korea,Seoul National University,2019,75.6,81.7,46900,Human Resources Specialist,Data Analysis,Qualitative Research,Communication,72,5.0,58,0,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False
USA,UC Berkeley,2024,92.0,97.7,152200,Data Analyst,R,Machine Learning,Big Data,81,80.9,67,1,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True
UAE,Khalifa University,2017,94.3,99.9,101100,AI Researcher,DevOps,Cybersecurity,SQL,69,7.6,63,1,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False
Switzerland,EPFL,2022,80.9,86.5,125400,Environmental Scientist,Laboratory Skills,Statistical Analysis,Scientific Writing,84,68.7,65,0,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
Japan,University of Tokyo,2021,88.0,88.9,65800,NLP Specialist,NLP,Data Visualization,R,71,31.3,64,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
UAE,Khalifa University,2019,98.4,100.0,68500,Machine Learning Engineer,R,Machine Learning,Data Visualization,75,14.1,40,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
Israel,Hebrew University of Jerusalem,2023,83.9,85.9,70200,Robotics Engineer,MATLAB,SolidWorks,Lean Six Sigma,77,73.4,63,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
USA,Harvard,2019,94.4,99.7,112100,Mechanical Engineer,SolidWorks,Lean Six Sigma,AutoCAD,60,7.7,57,1,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False
Saudi Arabia,King Abdulaziz University,2015,87.0,92.1,68600,Medical Doctor,Diagnostics,Clinical Research,Medical Coding,45,12.4,75,1,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
Brazil,University of São Paulo,2019,78.7,83.2,28200,Human Resources Specialist,Communication,Qualitative Research,Data Analysis,48,7.8,75,0,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False
Netherlands,TU Delft,2024,76.6,83.4,82700,Electrical Engineer,Lean Six Sigma,Project Management,AutoCAD,81,84.1,98,0,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
Mexico,UNAM,2019,83.8,85.2,20300,Data Analyst,Big Data,NLP,Data Visualization,92,13.3,69,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
Argentina,University of Buenos Aires,2023,85.6,95.5,29700,AI Consultant,Big Data,Data Visualization,NLP,87,71.1,80,1,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
Sweden,KTH Royal Institute of Technology,2018,84.1,87.5,90900,Marketing Manager,Data Analysis,Financial Modeling,Strategic Planning,60,19.4,90,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Mexico,UNAM,2017,88.7,91.7,34200,Software Engineer,Cybersecurity,SQL,Cloud Computing,72,10.3,86,1,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
Brazil,University of São Paulo,2017,87.6,92.3,8900,Policy Analyst,Data Analysis,Communication,Public Policy,49,5.0,45,1,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
Mexico,UNAM,2021,83.4,85.8,30900,Sociologist,Public Policy,Qualitative Research,Communication,49,46.6,95,0,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False
Argentina,University of Buenos Aires,2018,85.5,90.0,27600,Data Scientist,React,SQL,Cloud Computing,73,5.0,69,0,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False
Canada,University of Toronto,2016,86.5,95.2,64300,Policy Analyst,Data Analysis,Public Policy,Qualitative Research,63,8.7,53,1,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False
Canada,University of Toronto,2020,91.5,96.6,100900,NLP Specialist,Data Visualization,Deep Learning,Big Data,79,42.0,67,1,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True
Saudi Arabia,King Abdulaziz University,2024,87.3,92.2,61700,Data Scientist,SQL,DevOps,Cybersecurity,82,72.9,71,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
Argentina,University of Buenos Aires,2025,87.5,87.5,20000,Investment Banker,Excel,Data Analysis,Strategic Planning,80,90.0,40,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mexico,UNAM,2020,78.1,80.3,20300,Marketing Manager,Market Research,Excel,Data Analysis,52,28.9,96,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
South Korea,KAIST,2022,86.4,92.8,55200,Management Consultant,Financial Modeling,Strategic Planning,Data Analysis,52,54.8,77,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
South Africa,University of Cape Town,2025,83.6,88.1,22000,Physicist,Experimental Design,Statistical Analysis,Laboratory Skills,66,90.0,76,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
Israel,Hebrew University of Jerusalem,2020,95.8,98.6,69900,Public Health Specialist,Patient Care,Medical Coding,Clinical Research,66,45.9,65,1,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
Sweden,KTH Royal Institute of Technology,2015,76.7,83.6,61500,Sociologist,Communication,Qualitative Research,Public Policy,48,7.4,85,0,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False
UK,Imperial College London,2021,74.2,76.1,52300,Sociologist,Qualitative Research,Public Policy,Communication,68,37.2,96,0,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False
South Africa,University of Cape Town,2022,89.7,95.2,21700,Physicist,Scientific Writing,Experimental Design,Statistical Analysis,63,54.6,75,1,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
Brazil,University of São Paulo,2025,85.5,90.7,24400,Physicist,Experimental Design,Scientific Writing,Statistical Analysis,71,86.4,69,1,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
Brazil,University of São Paulo,2022,84.4,86.8,47000,Cloud Architect,Cloud Computing,React,SQL,91,61.7,67,0,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False
Argentina,University of Buenos Aires,2018,81.7,85.7,12900,Economist,Data Analysis,Public Policy,Qualitative Research,48,11.0,55,0,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
Canada,UBC,2021,72.7,79.8,61400,Policy Analyst,Public Policy,Data Analysis,Communication,66,52.6,84,0,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False
South Korea,Seoul National University,2023,85.1,86.4,58100,Electrical Engineer,Project Management,SolidWorks,Lean Six Sigma,53,63.8,70,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
Israel,Technion,2016,77.6,83.0,56800,Sociologist,Data Analysis,Communication,Qualitative Research,44,6.9,48,0,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False
Canada,University of Toronto,2018,74.5,77.5,68800,Management Consultant,Excel,Financial Modeling,Market Research,66,5.3,100,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
South Africa,University of Cape Town,2018,92.2,95.5,41500,Data Analyst,Machine Learning,Data Visualization,NLP,83,7.1,71,1,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
UAE,Khalifa University,2017,80.8,88.1,81000,Civil Engineer,Lean Six Sigma,Project Management,AutoCAD,46,9.8,96,0,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
Saudi Arabia,King Abdulaziz University,2017,90.3,96.7,48800,Chemist,Laboratory Skills,Statistical Analysis,Experimental Design,48,13.2,84,1,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
South Africa,University of Cape Town,2015,72.1,75.7,21800,Economist,Qualitative Research,Public Policy,Data Analysis,47,9.6,79,0,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
South Africa,University of Cape Town,2015,83.3,89.1,29500,Machine Learning Engineer,Deep Learning,Data Visualization,Machine Learning,76,12.8,86,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
Mexico,UNAM,2016,95.3,100.0,38200,Medical Doctor,Diagnostics,Medical Coding,Clinical Research,35,12.1,73,1,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False
South Africa,University of Cape Town,2015,86.6,89.5,43600,Software Engineer,DevOps,SQL,React,80,9.8,80,0,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False
Argentina,University of Buenos Aires,2020,90.1,97.0,19300,Data Scientist,Cybersecurity,Java,Python,74,41.0,63,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
